,frame,track_id,cx,cy,x1,y1,x2,y2,confidence,row_in_frame,class,side,X_m,Y_m,role
30,1,3,790.5071,454.417,775.222,416.4857,805.7922,492.3484,0.7169,7,person,right,87.48087647567993,28.98349734181811,referee
31,1,3,789.6349,397.159,776.3842,367.5857,802.8856,426.7323,0.6361,8,person,right,90.21180041461368,32.98164077780458,referee
32,1,1,876.4872,678.3443,851.9351,634.1569,901.0394,722.5317,0.8568,9,person,right,79.79025367924814,16.091207742207942,player
33,1,7,888.8082,392.2704,872.3088,362.0194,905.3077,422.5215,0.8059,10,person,right,91.60243600049196,32.54904343514986,player
34,1,18,1011.1459,490.0864,994.6437,454.4214,1027.6481,525.7515,0.852,11,person,right,88.29521680816433,25.19064789895149,player
35,1,17,1054.332,991.9118,1033.4393,931.5905,1075.2247,1052.2332,0.4539,12,person,right,72.9877208907093,3.676642034164302,player
36,1,16,1150.9709,750.3117,1123.6688,707.411,1178.2731,793.2124,0.6227,13,person,right,80.1354340664007,11.644456302683158,player
37,1,16,1174.9368,762.4445,1151.1256,728.4542,1198.748,796.4349,0.4955,14,person,right,79.98637592252389,11.052904406967574,player
38,1,15,1172.6815,384.2844,1157.9642,356.2255,1187.3988,412.3432,0.7353,15,person,right,95.20497569637212,30.903661118934004,player
39,1,14,1195.4783,857.8798,1186.3608,849.4365,1204.5959,866.3232,0.6006,16,sports ball,right,77.45895583005372,7.447393496235264,ball
40,1,19,1246.3242,466.9465,1228.4814,432.1544,1264.1669,501.7386,0.7698,17,person,right,91.82915601686712,25.008792442645355,player
41,1,4,1292.5806,428.4412,1276.7509,393.066,1308.4103,463.8164,0.7875,18,person,right,94.1926992083537,27.072563356546112,player
42,1,4,1330.5186,481.3134,1309.3292,444.9961,1351.7079,517.6307,0.8306,19,person,right,92.02602917475784,23.607154368299188,player
43,1,5,1406.61,858.8789,1369.0568,814.1215,1444.1633,903.6363,0.8427,20,person,right,79.24559053596016,6.556648301195909,player
44,1,6,1592.4134,653.383,1570.6619,610.6459,1614.1648,696.1201,0.8389,21,person,right,87.43649042807284,13.538544129790283,player
45,1,12,1872.1262,864.2508,1850.0527,808.0115,1894.1998,920.4902,0.7592,22,person,right,82.944224457642,4.566763000358032,player
46,2,10,148.0181,1025.046,127.6791,970.5439,168.3571,1079.5481,0.7796,0,person,right,64.49240903816961,6.031957593864289,player
